_id,AREA_NAME,HOOD_ID,ASSAULT_2025,ASSAULT_RATE_2025,AUTOTHEFT_2025,AUTOTHEFT_RATE_2025,BREAKENTER_2025,BREAKENTER_RATE_2025,HOMICIDE_2025,HOMICIDE_RATE_2025,ROBBERY_2025,ROBBERY_RATE_2025,SHOOTING_2025,SHOOTING_RATE_2025,THEFTFROMMV_2025,THEFTFROMMV_RATE_2025,THEFTOVER_2025,THEFTOVER_RATE_2025,POPULATION_2025
66,Weston-Pelham Park,91,74,611.317626953125,15,123.915740966797,23,190.004135131836,1,8.261049153242462,7,57.8273429870605,1,8.261049153242462,49,404.791412353516,3,24.7831478118896,12105
67,Junction Area,90,146,908.129638671875,38,236.362503051758,49,304.783233642578,0,0.0,12,74.6407928466797,1,6.220065932698886,93,578.466125488281,14,87.080924987793,16077
68,Oakridge,121,199,1276.21374511719,25,160.328353881836,36,230.872833251953,0,0.0,9,57.7182083129883,2,12.826268197268003,31,198.807159423828,7,44.8919372558594,15593
69,Clairlea-Birchmount,120,399,1303.79370117188,88,287.553497314453,58,189.523895263672,0,0.0,15,49.0148010253906,3,9.802960494069207,89,290.821166992188,26,84.9589920043945,30603
70,Wexford/Maryvale,119,350,1128.15881347656,132,425.47705078125,79,254.641571044922,0,0.0,39,125.709129333496,10,32.233109850438375,137,441.593597412109,26,83.8060836791992,31024
71,Tam O'Shanter-Sullivan,118,143,446.581939697266,67,209.237686157227,40,124.918022155762,1,3.1229505636925765,31,96.8114700317383,4,12.491802254770306,82,256.081939697266,11,34.3524551391602,32021
72,Steeles,116,58,225.689712524414,36,140.083267211914,46,178.99528503418,0,0.0,14,54.4768295288086,0,0.0,29,112.844856262207,6,23.3472118377686,25699
73,Mount Dennis,115,81,562.148681640625,22,152.682357788086,18,124.921920776367,1,6.940106877645916,12,83.2812805175781,2,13.880213755291832,26,180.442779541016,2,13.8802137374878,14409
74,Lambton Baby Point,114,21,243.789184570313,8,92.8720703125,3,34.8270263671875,0,0.0,6,69.654052734375,0,0.0,4,46.43603515625,1,11.6090087890625,8614
75,Weston,113,194,875.5302734375,53,239.191268920898,40,180.521713256836,0,0.0,7,31.5912990570068,4,18.05217077353552,30,135.39128112793,8,36.1043434143066,22158
76,Beechborough-Greenbrook,112,56,692.298156738281,20,247.24934387207,9,111.26220703125,0,0.0,12,148.349609375,1,12.362467548522686,12,148.349609375,3,37.08740234375,8089
